query,product_title,human_label,llm_label,agrees
wildflower cases iphone 8 plus,"Dimaka iPhone 7 Plus Case, iPhone 8 Plus Case for Girls, Vintage Pattern Case [Floral Cover] 2 Layer",Substitute,Substitute,True
"I would probably choose another MacBook as a replacement, probably a MacBook Air ","Funny Mug - Yet, despite the look on my face, you're still talking - 11 OZ Coffee Mugs - Inspiration",Irrelevant,Irrelevant,True
autism: nightmare without end,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Irrelevant,Irrelevant,True
3/8 hose,"Clear Vinyl Tubing Flexible PVC Tubing, Hybrid PVC Hose, Heavy Duty and Lightweight, by 3/8 Inch ID,",Exact,Exact,True
havana lawn mower,"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",Exact,Exact,True
I would buy a nice comfortable sweater. A hoodie preferably. I don't care about the appearance nearly as much as i do about comfort.,Someone Awesome Comes Along Graphic Novelty Sarcastic Funny T Shirt L Black,Complement,Irrelevant,False
always ultra thin with wings,"Always Ultra Thin Pads Size 1 Regular Absorbency Unscented with Wings, 36 Count, Packaging may vary ",Exact,Exact,True
lucid 12 inch gel memory foam mattress,LUCID 12 Inch Queen Hybrid Mattress - Bamboo Charcoal and Aloe Vera Infused Memory Foam - Motion Iso,Substitute,Exact,False
donald trump birthday presents,"I Smell Hippies | Funny Ronald Reagan Conservative Merica USA Unisex T-Shirt-Adult,XL Black",Substitute,Irrelevant,False
coffee is not my cup of tea,"Some days, the best thing about my job is that the chair spins.11 oz Coffee Mug - Funny Inspirationa",Substitute,Complement,False
i support trans rights because i'm not an idiot,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Irrelevant,Complement,False
propogator,"MIXC 10-Pack Seed Trays Seedling Starter Tray, Humidity Adjustable Plant Starter Kit with Dome and B",Exact,Exact,True
l brackets,"Shelf Brackets 12 inch, Heavy Duty Floating Shelf Bracket for Open Shelving, Black Metal L Bracket A",Exact,Exact,True
ztr mower lift,"MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, (3"" Centered Hub, 3/4"" Bushin",Irrelevant,Irrelevant,True
our like will not be there again gilbert alter-gilbert,Enough Social Interaction Graphic Novelty T Shirt 5XL Black,Irrelevant,Irrelevant,True
straws drinking reusable,Hiware 12-Pack Reusable Stainless Steel Metal Straws with Case - Long Drinking Straws for 30 oz and ,Exact,Exact,True
always maxi pads long super without wings,"Always Xtra Protection Daily Feminine Panty Liners for Women, Regular, Unscented, 50 Count - Pack of",Exact,Irrelevant,False
landmowers,"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",Exact,Exact,True
mattress queen size firm,"Queen Mattress, Coolvie 12 Inch Memory Foam Hybrid Mattress in A Box",Exact,Exact,True
no beer not going shirt,Enough Social Interaction Graphic Novelty T Shirt 5XL Black,Substitute,Irrelevant,False
12 inch l shaped brackets,"Favordrory 16 PCS 90 Degree Angle L Shaped Shelf Bracket, Corner Brace Joint Bracket Fastener, 5 x 3",Substitute,Substitute,True
do you not realize i have had diarrhea since easters,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Substitute,Irrelevant,False
wide metal straws with silicone tip,"4 PCS 12"" Colorful Metal Drinking Straws, Ultra Long Stainless Steel Straws 0.31"" Wide Reusable Rain",Exact,Exact,True
metal gates fencing,"Zippity Outdoor Products ZP19026 Lightweight Portable Vinyl Picket Fence Kit w/Metal Base(42"" H x 92",Substitute,Substitute,True
the straight state,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson ,Substitute,Irrelevant,False
dr q eyes wide open,ZINUS 12 Inch Cloud Memory Foam Mattress / Pressure Relieving / Bed-in-a-Box / CertiPUR-US Certified,Irrelevant,Irrelevant,True
engineer i'm not arguing funny engineering t-shirt,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Substitute,Substitute,True
honda lawn mower,"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",Substitute,Substitute,True
garden trays without holes,"10 Pack Plastic Growing Trays, 15.7 X 11.8 X 2.4 Growing Trays Without Holes, Hydroponic Tray for Fl",Exact,Exact,True
if its not one thing its your mother,"Funny Mug - Yet, despite the look on my face, you're still talking - 11 OZ Coffee Mugs - Inspiration",Irrelevant,Irrelevant,True
um is not an answer,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Substitute,Irrelevant,False
'cause not everyone can get into lehigh,Enough Social Interaction Graphic Novelty T Shirt 5XL Black,Irrelevant,Irrelevant,True
straight not narrow shirt,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Substitute,Exact,False
mattress queen,"Linenspa 12 Inch Memory Hybrid Plush-Edge Support-Quilted Foam Cover Mattress, Plush Mattress Queen",Exact,Exact,True
welder gag gifts,Enough Social Interaction Graphic Novelty T Shirt 5XL Black,Substitute,Irrelevant,False
survivor without a tattoo,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Irrelevant,Irrelevant,True
"I want a jacket without a hood that is fairly slim-fitting, but warm.",Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Irrelevant,Irrelevant,True
i do not spew profanities mug,"My Level Of Sarcasm Depends - Funny Gifts Sarcastic Coffee Mugs For Women, Men Ceramic Cup White Ins",Substitute,Irrelevant,False
11 ways you're being condescending without realizing it,"Some days, the best thing about my job is that the chair spins.11 oz Coffee Mug - Funny Inspirationa",Irrelevant,Irrelevant,True
i will not leave the house today,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Substitute,Irrelevant,False
I would choose a blue hoodie as a replacement jacket that i would want to buy,Outstanding Humor Graphic Novelty Sarcastic Funny T Shirt XL Black,Irrelevant,Irrelevant,True
decorative 12 shelf brackets,WINKER Shelf Bracket 10 Inch Heavy Duty White Brackets for Shelves Corner L Bracket for Wall Shelves,Substitute,Substitute,True
